brand,model,year,generation,restyling,price,engine_volume,fuel_t,power_hp,transmission,drive,body-type,mileage,owners,steering,equipment
Volkswagen,Teramont X,2025,1,True,2025,2.0,бензин,220,робот,4WD,внедорожник,N/A,N/A,левый,«Premium 380TSI; новый авто; комплектация 2.0 380 TSI DSG Respect Luxury; 4 вд; бен.; АКПП
Renault,Grand Scenic,2009,2,False,2009,1.5,дизель,106,механика,передний,минивэн,280000,3,левый,1.5 dCi 110 FAP MT Expression 5-seats
Haval,Dargo,2024,1,False,2024,2.0,бензин,192,робот,4WD,внедорожник,1000,N/A,левый,2.0 GDIT DCT AWD Tech Plus
Jetour,Dashing,2025,1,False,2025,1.5,бензин,147,робот,передний,внедорожник,N/A,N/A,левый,1.5T DCT Elite
Toyota,Vitz,1999,1,False,1999,1.0,бензин,70,АКПП,передний,хэтчбек 5 дв.,15000,4,правый,1.0 F
Лада,Гранта,2016,1,True,2016,1.6,бензин,106,механика,передний,седан,190000,1,левый,1.6 MT Люкс; бензин; седан; синий; 1.6л.; мкпп
Honda,Accord,2013,9,False,2013,2.4,бензин,180,АКПП,передний,седан,146000,2,левый,2.4 AT Executive
Voyah,Free,2025,1,False,2025,1.5,бензин,108,АКПП,4WD,джип/suv 5 дв.,N/A,N/A,левый,1.5 EVR
Voyah,Free,2025,1,False,2025,1.5,бензин,108,АКПП,4WD,джип/suv 5 дв.,N/A,N/A,левый,1.5 EVR
Лада,Гранта,2015,1,True,2015,1.6,бензин,98,АКПП,передний,седан,216300,2,левый,1.6 AT Люкс 024
Лада,Веста,2024,1,True,2024,1.6,бензин,106,вариатор,передний,седан,8000,1,левый,1.6 CVT 2WD Life'24; седан; 1.6 литра; автомат; 1 400 000 руб.
Лада,2114 Самара,2005,1,False,2114,1.5,бензин,77,механика,передний,хэтчбек 5 дв.,368000,4,левый,1.5 MT Базовая
Nissan,X Trail,2004,1,True,2004,2.0,бензин,140,АКПП,4WD,"салон кожа, сиденья электро, люк работает в двух положениях, подогревы сидений, климат контроль и тд. Двигатель, коробка, ходовая часть без нареканий, полностью обслужена !!! Все масла и жидкости менялись вовремя, за машиной следили !!! Салон в прекрасном состоянии, кожа вся целая, дверные карты и панели не затертые !!! Электрика вся исправна, всё что должно работать, работает, кондиционер заправлен, зимой машина тёплая !!! Установлена 2 Din магнитола ( все функции которые нужны, присутствуют, так же установлена камера заднего вида ) Сигнализация с автозапуском и обратной связью StarLine A 93 !!! 2 комплекта ключей !!! Небольшой торг у капота реальному покупателю )",197000,3,левый,2.0 AT Elegance
Voyah,Free,2025,1,False,2025,1.5,бензин,108,АКПП,4WD,джип/suv 5 дв.,N/A,N/A,левый,1.5 EVR
Honda,Fit Shuttle,2012,1,False,2012,1.3,бензин,88,вариатор,передний,универсал,300000,3,правый,на ходу; 1.3 литр; комплектация 1.3 NAVI Premium selection; гибрид; акпп; не на ходу или битый
OMODA,C5,2024,1,True,52024,1.5,бензин,147,вариатор,передний,внедорожник,24000,1,левый,N/A
Лада,2106,1990,1,False,21061990,1.3,бензин,64,механика,задний,седан,100000,2,левый,1.3 MT 21063
BMW,4 Series,2021,2,False,4,3.0,бензин,387,автомат,4WD,открытый,13670,N/A,левый,N/A
Chevrolet,Niva,2012,1,True,2012,1.7,бензин,80,механика,4WD,внедорожник,149300,3,левый,1.7 MT L
Belgee,X70,2025,1,False,702025,1.5,бензин,150,АКПП,передний,N/A,150000,N/A,левый,N/A
Daihatsu,Move,2019,6,True,2019,0.7,бензин,52,вариатор,передний,хэтчбек,108420,1,правый,660 X Limited II SAIII
Geely,Emgrand,2013,N/A,False,2013,1.5,бензин,98,механика,передний,седан,76250,3,левый,N/A
Voyah,Free,2025,1,False,2025,1.5,бензин,108,АКПП,4WD,джип/suv 5 дв.,N/A,N/A,левый,1.5 EVR; джип/suv 5 дв.; 4вд; бензин; черный; автомат; новый авто; гибрид
Toyota,Platz,1999,1,False,1999,1.0,бензин,70,АКПП,передний,седан,166615,2,правый,1.0 F L package
Toyota,Corolla Runx,2001,1,False,2001,1.5,бензин,110,АКПП,передний,хэтчбек,263909,1,правый,N/A
Audi,Q8,2019,1,False,82019,3.0,дизель,286,АКПП,4WD,внедорожник,140272,2,левый,3.0 50 TDI quattro tiptronic
Chevrolet,Lacetti,2007,1,False,2007,1.4,бензин,95,механика,передний,хэтчбек 5 дв.,91372,2,левый,1.4 MT Elite
Toyota,Ractis,2008,1,True,2008,1.5,бензин,110,вариатор,передний,"Работа, Дом. ПТС оригинал, один хозяин. -Сигнализация Pandora. -Бесключевой доступ -Подрулевые лепестки переключения передач -Климат контроль -Круиз контроль -Повторители в ушах -Темный салон -Спойлер -Обмен не интересен",96000,1,правый,1.5 G
Geely,Monjaro,2025,1,False,2025,2.0,бензин,238,АКПП,4WD,внедорожник,150000,N/A,левый,2.0 AT Flagship
Лада,Гранта,2013,1,False,2013,1.6,бензин,98,АКПП,передний,седан,193000,2,левый,1.6 AT Люкс
Voyah,Free,2025,1,False,2025,1.5,бензин,108,АКПП,4WD,джип/suv 5 дв.,N/A,N/A,левый,1.5 EVR
Voyah,Free,2025,1,False,2025,1.5,бензин,108,АКПП,4WD,джип/suv 5 дв.,N/A,N/A,левый,1.5 EVR; 4вд
Skoda,Kodiaq,2020,1,False,2020,1.4,бензин,150,робот,4WD,внедорожник,130000,1,левый,N/A
Geely,Monjaro,2025,1,False,2025,2.0,бензин,238,АКПП,4WD,внедорожник,150000,N/A,левый,2.0 AT Flagship
Nissan,X Trail,2010,2,False,2010,2.0,бензин,141,вариатор,4WD,внедорожник,244685,4,левый,2.0 CVT SE
Chery,Tiggo T11,2007,1,False,112007,2.4,бензин,129,механика,передний,N/A,230000,4,левый,N/A
Daewoo,Nexia,2008,1,True,2008,1.5,бензин,80,механика,передний,седан,183000,1,левый,1.5 SOHC MT LOW COST
Skoda,Kodiaq,2020,1,False,2020,2.0,бензин,180,робот,4WD,N/A,82000,1,левый,2.0 TSI DSG Style
Toyota,Corolla,2001,9,False,2001,1.5,бензин,110,АКПП,передний,седан,260000,4,правый,1.5 X limited NAVI special
Лада,2114 Самара,2011,1,False,2114,1.6,бензин,80,механика,передний,хэтчбек 5 дв.,174741,3,левый,1.6 MT 21144-20-010
Voyah,Free,2025,1,False,2025,1.5,бензин,108,АКПП,4WD,джип/suv 5 дв.,N/A,N/A,левый,1.5 EVR
Voyah,Dream,2025,N/A,False,2025,1.5,гибрид,394,автомат,4WD,минивэн,N/A,N/A,левый,Voyah Dream I 1.5hyb AT (394 л.с.) 4WD Base
Nissan,Juke,2012,1,False,2012,1.5,бензин,114,вариатор,передний,внедорожник,82000,1,правый,Nissan Juke I 1.5 CVT (114 л.с.)
Лада,Ларгус Кросс,2025,1,True,2025,1.6,бензин,106,механика,передний,универсал,100,N/A,левый,1.6 MT Enjoy 7 мест
Skoda,Octavia,2011,2,True,2011,1.6,бензин,102,АКПП,передний,лифтбек,119157,N/A,левый,Ambition
Haval,F7,2025,2,False,72025,2.0,бензин,192,робот,4WD,внедорожник,N/A,N/A,левый,2.0 SAT 4WD Elite; бензин; 4вд
Ford,Focus,2006,2,False,2006,1.6,бензин,115,механика,передний,седан,96000,N/A,левый,1.6 MT Ghia
Geely,Atlas,2024,2,False,2024,2.0,бензин,200,АКПП,4WD,внедорожник,150000,N/A,левый,2.0 TD AT Flagship Sport
Mazda,CX 3,2022,1,True,32022,1.5,бензин,111,АКПП,передний,внедорожник,24000,N/A,правый,1.5 15S Touring
Honda,N WGN,2018,1,True,2018,0.7,бензин,58,вариатор,передний,хэтчбек,110000,N/A,правый,660 G
Belgee,X70,2025,1,False,702025,1.5,бензин,177,робот,4WD,внедорожник,N/A,N/A,левый,1.5T AMT Prestige; 4WD
Mitsubishi,Lancer,2007,10,False,2007,1.5,бензин,109,механика,передний,седан,183352,4,левый,Mitsubishi Lancer X 1.5 MT (109 л.с.)
Лада,1111 Ока,2001,1,False,1111,0.7,бензин,33,механика,передний,"Оренбург, Юных Ленинцев 22/1",N/A,N/A,левый,0.6 MT 11113
Hyundai,H1,2008,2,False,12008,2.5,дизель,170,механика,задний,минивэн,249361,4,левый,N/A
Nissan,Juke,2011,1,False,2011,1.6,бензин,117,вариатор,передний,внедорожник,163000,3,левый,SE+ Sport
Geely,Atlas,2024,2,False,2024,2.0,бензин,200,АКПП,4WD,внедорожник,150000,N/A,левый,2.0 TD AT Flagship Sport
Belgee,X50,2025,1,False,502025,1.5,бензин,150,робот,передний,внедорожник,N/A,N/A,левый,1.5T AMT Prestige; бензин; новый автомобиль от официального дилера
Chery,Very A13,2012,1,False,132012,1.5,бензин,109,механика,передний,хэтчбек,179750,4,N/A,N/A
Hyundai,Solaris,2015,1,True,2015,1.4,бензин,107,механика,передний,седан,132000,3,левый,максималка; покупал в 16 году новую. Езжу иногда на рыбалку; при...
Toyota,Camry,1995,4,False,1995,1.8,бензин,125,АКПП,передний,седан,1,4,правый,1.8 Lumiere
Geely,Cityray,2025,1,False,2025,1.5,бензин,147,робот,передний,внедорожник,150000,N/A,левый,1.5T DCT Luxury
Geely,Atlas,2024,2,False,2024,2.0,бензин,200,АКПП,4WD,внедорожник,150000,N/A,левый,2.0 TD AT Flagship
Geely,Emgrand X7,2018,1,True,72018,2.0,бензин,139,АКПП,передний,внедорожник,80520,N/A,левый,2.0 AT Флагшип
Nissan,Sunny,2002,9,True,2002,1.5,бензин,109,АКПП,передний,седан,1000,4,правый,1.5 EX saloon
Geely,Okavango,2024,1,True,2024,2.0,бензин,200,робот,передний,внедорожник,150000,N/A,левый,2.0T AMT Flagship; бензин; автомат AT; серый
Lexus,LS460L,2008,4,False,460,4.6,бензин,380,АКПП,задний,седан,200000,4,левый,460L
Mazda,CX 7,2008,1,False,72008,2.3,бензин,238,АКПП,4WD,внедорожник,259776,4,левый,2.3 AT 4WD
Hyundai,Tucson,2008,1,False,2008,2.7,бензин,175,АКПП,4WD,внедорожник,220000,3,левый,2.7 AT 4WD GLS
Toyota,Premio,2010,N/A,False,2010,1.5,бензин,109,автомат,передний,седан,86000,1,левый,Х. Этот авто у...
Kia,Rio X (X Line),2020,1,False,2020,1.6,бензин,123,АКПП,передний,"подогрев передних сидений и руля, полноценный климат контроль, круиз контроль. Полный мультируль. Установлена дорогая магнитола на андроиде, камера заднего вида, видеорегистратор. Установлены дорогие модельные чехлы! Много допоборудования от дилера (газовые упоры капота, ветровики, защита днища металлическая, металлические накладки на пороги, ковёр в багажник). Состояние салона просто отличное. Всё, что должно работать в машине-работает. В машине ничего делать не нужно: 2 тыс назад заменено масло в двигателе и коробке, передние тормозные диски и колодки. Стоит НОВАЯ резина на 16 литье! Установлена дорогая сигнализация с GSM модулем и приложением на телефоне. Даже не знаю, что ещё добавить. В общем, кому нужен абсолютно целый и исправный автомобиль в отличном состоянии, то это ваш вариант!",115500,4,левый,1.6 AT Luxe
Nissan,Note,2017,2,True,2017,1.2,бензин,79,АКПП,передний,хэтчбек,185000,2,правый,1.2 e-POWER S
FAW,V5,2013,1,False,52013,1.5,бензин,102,механика,передний,седан,278000,1,левый,1.5 MT Deluxe
Nissan,Tiida Latio,2007,1,False,2007,1.5,бензин,109,АКПП,передний,седан,217000,4,правый,1.5 15S
Toyota,Ractis,2008,1,True,2008,1.3,бензин,87,вариатор,передний,хэтчбек,174000,2,правый,1.3 X; автоматическая коробка передач; пробег 174 тыс.км; руль правый; серый
Mazda,Familia,2002,9,False,2002,2.2,дизель,79,АКПП,передний,универсал,171111,N/A,правый,2.2 DX diesel
Лада,Гранта,2012,1,False,2012,1.6,бензин,98,АКПП,передний,седан,180000,4,левый,N/A
Toyota,Camry,2008,7,False,2008,2.4,бензин,167,АКПП,передний,седан,278000,1,левый,2.4 AT Prestige; передний привод
Mercedes,Benz Vito,2021,3,True,2021,2.1,дизель,190,АКПП,4WD,минивэн,185,N/A,левый,119 2.1 CDI 4MATIC AT (190 л.с.) Базовая W447 рестайлинг (2018—2023)
Li,L7,2023,N/A,False,72023,1.5,гибрид,449,автомат,4WD,внедорожник,1,N/A,левый,1.5hyb 4WD AT (449 л.с.) Max I (2023—2024); 1.5 литра; 4вд; гибрид; б/у
Lexus,LX450d,2020,3,True,450,4.5,дизель,272,АКПП,4WD,внедорожник,181103,N/A,левый,LX 450d 4.5 4WD AT (272 л.с.) Executive 2 J200 рестайлинг 2 (2015—2023)
Kia,Sportage,2025,5,False,2025,2.0,бензин,150,АКПП,4WD,джип/suv 5 дв.,1,N/A,левый,2.0 4WD AT (150 л.с.) Luxe V (2021—2025)
Toyota,Ractis,2008,1,True,2008,1.3,бензин,87,вариатор,передний,хэтчбек,186000,1,правый,N/A
Toyota,Altezza,2000,1,False,2000,2.0,бензин,200,АКПП,задний,седан,150000,3,правый,2.0 RS200; седан; 2л.; АКПП; белый
Subaru,Levorg,2020,2,False,2020,1.8,бензин,177,вариатор,4WD,универсал,105170,N/A,правый,1.8 GT-H EX 4WD
ГАЗ,3102 Волга,1995,2,False,3102,2.4,бензин,105,механика,задний,седан,123456,4,левый,2.4 MT
Toyota,Ipsum,2004,2,True,2004,2.4,бензин,160,АКПП,передний,минивэн,269000,3,правый,N/A
Лада,2107,2012,1,False,21072012,1.6,бензин,72,механика,задний,седан,46000,2,N/A,N/A
Honda,Stepwgn,2015,5,False,2015,1.5,бензин,150,вариатор,передний,минивэн,170000,2,правый,N/A
Renault,Duster,2021,2,False,2021,1.6,бензин,117,механика,4WD,внедорожник,186000,1,левый,N/A
Suzuki,Escudo,2008,3,True,2008,2.4,бензин,166,АКПП,4WD,джип/suv 5 дв.,200500,4,правый,2.4 Salomon limited 4WD; 2.4 литра
Toyota,Camry,2011,7,True,2011,2.4,бензин,167,АКПП,передний,седан,184000,1,левый,2.4 AT Prestige
Nissan,X Trail,2016,3,False,2016,2.0,бензин,147,вариатор,4WD,внедорожник,188754,1,правый,кожаный салон; камера 360.Хорошее состояние; любые проверки за ваш счет.Сигнализация пандора; два смарт ключа.
BMW,X4,2015,1,False,42015,2.0,бензин,245,АКПП,4WD,внедорожник,172800,3,левый,xDrive28i Exclusive Локальная сборка
Skoda,Fabia,2014,2,True,2014,1.6,бензин,105,АКПП,передний,хэтчбек 5 дв.,104001,1,левый,1.6 AT Fresh; 1.6 литра; бензин; коробка автоматическая
Ford,Ranger,2011,2,True,2011,2.5,дизель,143,АКПП,4WD,N/A,119507,3,левый,2.5 TDCi AT Limited Двойная кабина
ЗАЗ,Сенс,2009,1,True,2009,1.3,бензин,70,механика,передний,хэтчбек 5 дв.,83000,4,левый,1.3i MT S
Chevrolet,Aveo,2007,1,False,2007,1.4,бензин,94,АКПП,передний,седан,156000,4,левый,N/A
Hummer,H3,2005,1,False,32005,3.5,бензин,220,АКПП,4WD,внедорожник,145000,2,левый,3.5 AT Adventure
Honda,Civic,2008,8,False,2008,1.8,бензин,140,автомат,передний,хэтчбек 5 дв.,208000,4,левый,N/A
Honda,Acty,2017,3,False,2017,0.7,бензин,52,АКПП,4WD,минивэн,140000,N/A,правый,5 мест; передние...
Toyota,Cresta,1991,3,True,1991,2.5,бензин,180,АКПП,задний,седан,370000,4,правый,2.5 Super Lucent
Toyota,Camry,2019,9,False,2019,2.5,бензин,181,АКПП,передний,седан,80949,3,левый,2.5 AT Престиж Safety
Mercedes,Benz G Class,2019,3,False,2019,4.0,бензин,585,АКПП,4WD,джип/suv 5 дв.,60000,1,левый,N/A
Infiniti,QX56,2013,2,False,562013,5.6,бензин,405,АКПП,4WD,внедорожник,225000,3,левый,5.6 QX56 Hi-tech 7-местный
Mazda,Mazda2,2020,3,True,22020,1.5,бензин,110,АКПП,4WD,хэтчбек 5 дв.,121000,1,правый,1.5 15S PROACTIVE S Package 4WD
УАЗ,3151,2002,1,False,31512002,2.9,бензин,98,механика,4WD,внедорожник,90000,4,левый,2.9 MT
Opel,Astra,2011,4,False,2011,1.4,бензин,100,механика,передний,хэтчбек 5 дв.,114800,3,левый,1.4 MT Essentia; пробег 114тысяч км; механическая коробка
Toyota,Auris,2013,2,False,2013,1.6,бензин,132,вариатор,передний,хэтчбек 5 дв.,122676,1,левый,1.6 CVT Комфорт Плюс
Ford,Focus,2007,2,False,2007,1.8,бензин,125,механика,передний,хэтчбек 3 дв.,220000,4,левый,N/A
Kia,Rio X (X Line),2022,1,True,2022,1.6,бензин,123,АКПП,передний,хэтчбек,26000,1,левый,Luxe AV
Nissan,Teana,2012,2,True,2012,2.5,бензин,167,вариатор,4WD,седан,188000,4,левый,2.5 CVT 4WD Luxury+Four
Chevrolet,Lacetti,2008,1,False,2008,1.4,бензин,95,механика,передний,хэтчбек 5 дв.,281900,2,левый,1.4 MT SE3
Honda,Stepwgn,2015,30,False,2015,1.5,бензин,150,вариатор,передний,минивэн,152000,1,правый,1.5 Spada Advanced Package Alpha 8 seater
Toyota,Land Cruiser Prado,2014,4,True,2014,3.0,дизель,173,АКПП,4WD,джип/suv 5 дв.,210000,3,левый,N/A
Subaru,Forester,2000,1,True,2000,2.0,бензин,137,АКПП,4WD,внедорожник,336100,4,правый,2.0 C/20 4WD
Toyota,Corolla Fielder,2002,1,True,2002,1.5,бензин,109,АКПП,передний,универсал,330000,4,правый,1.5 X
Toyota,Sprinter Carib,1992,2,True,1992,1.6,бензин,110,механика,4WD,универсал,144000,2,правый,N/A
Mazda,Mazda3,2012,2,True,32012,1.6,бензин,105,АКПП,передний,хэтчбек 5 дв.,130000,N/A,левый,Без кузовных дефектов
Hyundai,Solaris,2014,1,True,2014,1.4,бензин,107,механика,передний,седан,285000,N/A,левый,Optima; чёрный.Пробег 80 000. Покупал у официального дилера до...
Лада,Веста Кросс,2019,1,False,2019,1.8,бензин,122,механика,передний,универсал,129770,1,левый,1.8 MT Luxe
Volkswagen,Golf,2020,8,False,2020,1.4,бензин,150,робот,передний,хэтчбек 5 дв.,40604,1,левый,1.4 280 TSI DSG R-Line Lite 5dr.
BMW,X2,2018,1,False,22018,1.5,бензин,140,робот,передний,внедорожник,18900,1,левый,sDrive 18i DCT Base; 1.5л.
Nissan,Qashqai,2014,2,False,2014,1.2,бензин,115,вариатор,передний,внедорожник,88122,2,левый,1.2 CVT SE+
Dodge,Ram,2003,3,False,2003,5.9,дизель,305,автомат,4WD,пикап,350000,1,левый,N/A
Renault,Logan,2017,2,False,2017,1.6,бензин,102,АКПП,передний,седан,174934,2,левый,• Бензиновый двигатель; 1.6 л.; 102 л.с.
Лада,Нива Тревел,2023,1,False,2023,1.7,бензин,80,механика,4WD,"• Бензиновый двигатель, 1.7 л., 80 л.с. • Антиблокировочная система • Подушки безопасности • Система крепления детских автокресел • Сигнализация • Центральный замок • Бортовой компьютер • Парктроник • Камера • Усилитель руля • Электростеклоподъемники • Электропривод зеркал • Климат-контроль • Подогрев сидений водителя и пассажира • Обогрев зеркал • Навигационная система • Кассетник • CD • DVD • MP3 • Bluetooth • Тонированные стекла • Рейлинги на крыше • Защита картера • Противотуманные фары • Фаркоп • Балонный ключ • Домкрат • Комплект ковриков • Запасное колесо",21106,1,левый,• Бензиновый двигатель; 1.7 л.; 80 л.с.
Renault,Kaptur,2020,1,True,2020,1.6,бензин,114,механика,передний,внедорожник,161000,1,левый,1.6 MT 4х2 Drive
Лада,Гранта,2012,1,False,2012,1.6,бензин,87,механика,передний,седан,150000,N/A,левый,N/A
Ford,Focus,2017,3,True,2017,1.5,бензин,150,АКПП,передний,хэтчбек 5 дв.,115000,3,левый,1.5 AT Titanium
Hyundai,Avante,2012,5,False,2012,1.6,бензин,140,АКПП,передний,седан,185206,4,левый,1.6 AT Base
Chevrolet,Aveo,2008,1,True,2008,1.4,бензин,101,АКПП,передний,седан,92000,3,левый,• Бензиновый двигатель; 1.4 л.; 101 л.с.
Suzuki,Swift,2021,5,False,2021,1.2,бензин,91,вариатор,передний,хэтчбек 5 дв.,85000,N/A,правый,1.2 XG
УАЗ,Патриот,2013,1,True,2013,2.7,бензин,128,механика,4WD,внедорожник,150000,2,левый,2.7 MT Limited
Opel,Zafira,2013,3,False,2013,1.4,бензин,140,АКПП,передний,минивэн,280,3,левый,1.4 Turbo AT Cosmo; серый; 1.4 литра; пробег 280 км
Toyota,Hiace,1999,4,True,1999,3.0,дизель,130,АКПП,4WD,минивэн,309000,4,правый,N/A
Nissan,X Trail,2021,3,True,2021,2.0,бензин,147,вариатор,4WD,внедорожник,117000,N/A,правый,2.0 20Xi V Selection 5-seat 4WD
BMW,1 Series,2011,1,True,1,1.6,бензин,116,АКПП,задний,хэтчбек 5 дв.,238000,3,левый,116i AT Base; 1.6 литра
Renault,Fluence,2012,1,False,2012,1.6,бензин,106,механика,передний,седан,235000,3,левый,1.6 MT Authentique
Mercedes,Benz S Class,2008,5,False,2008,5.5,бензин,517,АКПП,задний,седан,229000,4,левый,S 600 AT L
Chery,Tiggo 7L,2025,1,False,7,1.6,бензин,150,робот,передний,внедорожник,200000,N/A,левый,1.6 TGDI DCT Active
Лада,2115 Самара,2005,1,False,2115,1.5,бензин,76,механика,передний,седан,139600,3,левый,1.5i MT Базовая
Chery,Tiggo 8 Pro Max,2025,1,True,8,2.0,бензин,197,робот,4WD,внедорожник,200000,N/A,левый,2.0T DCT AWD Ultimate
Chery,Tiggo 4,2025,1,True,42025,1.5,бензин,147,робот,передний,внедорожник,200000,N/A,левый,1.5T DCT Prime
Haval,H9,2024,2,False,92024,2.4,дизель,184,АКПП,4WD,внедорожник,N/A,N/A,левый,2.4TD AT AWD Premium
Hyundai,Tucson,2024,4,True,2024,2.0,бензин,150,АКПП,4WD,внедорожник,26,N/A,левый,Travel
Лада,Веста,2021,1,False,2021,1.6,бензин,106,механика,передний,седан,101990,N/A,левый,1.6 MT Comfort + пакет Winter EnjoY Pro
Toyota,Avalon,2021,5,False,2021,2.5,бензин,176,вариатор,передний,седан,35000,1,левый,N/A
Лада,Нива Легенд,2023,1,False,2023,1.7,бензин,83,механика,4WD,джип/suv 3 дв.,31934,1,левый,Аксессуары
Nissan,Tiida,2012,1,True,2012,1.6,бензин,110,АКПП,передний,хэтчбек 5 дв.,114000,2,левый,1.6 AT Elegance
Лада,4x4 2121 Нива,2013,1,True,4,1.7,бензин,83,механика,4WD,внедорожник,84000,1,левый,N/A
Honda,Civic Ferio,1998,2,True,1998,1.5,бензин,105,АКПП,передний,седан,380000,2,правый,1.5 ML
Volkswagen,Golf Plus,2007,5,False,2007,1.6,бензин,102,АКПП,передний,хэтчбек,236000,3,левый,1.6 Tiptronic Comfortline
Skoda,Superb,2006,1,True,2006,1.8,бензин,150,АКПП,передний,седан,239000,4,левый,1.8 T Tiptronic Classic
Haval,H7,2025,2,False,72025,2.0,бензин,192,робот,4WD,внедорожник,N/A,N/A,левый,2.0T DCT AWD Premium; АКПП; цена 3.6млн.рублей; 4WD; 2 литра
Haval,H7,2025,2,False,72025,2.0,бензин,192,робот,4WD,внедорожник,N/A,N/A,левый,2.0T DCT AWD Premium
Haval,H7,2025,2,False,72025,2.0,бензин,192,робот,4WD,внедорожник,N/A,N/A,левый,2.0T DCT AWD Elite
Лада,Калина,2006,1,False,2006,1.6,бензин,81,механика,передний,седан,112000,1,N/A,1.6 MT 11183-31-040 Норма
Renault,Kaptur,2020,1,True,2020,1.3,бензин,149,вариатор,4WD,внедорожник,80000,1,левый,1.3 TCe 150 CVT 4х4 Drive
Лада,Гранта,2020,1,True,2020,1.6,бензин,106,механика,передний,седан,110000,3,левый,люкс (подогрев сидений; датчик света; датчик дождя...
Mazda,Axela,2010,2,False,2010,1.5,бензин,111,вариатор,передний,хэтчбек 5 дв.,130000,N/A,правый,1.5 15S NAVI edition
Toyota,Caldina,1996,1,True,1996,2.0,бензин,135,механика,4WD,универсал,227000,3,правый,2.0 TZ
BMW,3 Series,2019,7,False,3,2.0,дизель,190,АКПП,4WD,седан,109000,1,правый,320d xDrive M Sport
Volkswagen,Jetta,1991,2,True,1991,1.8,бензин,90,механика,передний,седан,245500,3,левый,N/A
ГАЗ,3102 Волга,2007,2,False,3102,2.4,бензин,137,механика,задний,седан,111111,4,левый,2.4 MT
Nissan,DAYZ,2021,2,False,2021,0.7,бензин,52,вариатор,передний,хэтчбек,90000,N/A,правый,660 X; правый руль; акпп
Toyota,Premio,2002,1,False,2002,1.8,бензин,132,АКПП,передний,седан,255000,N/A,правый,1.8 X standard package
Toyota,Hilux,2012,7,True,2012,2.5,дизель,144,механика,4WD,N/A,215529,1,левый,N/A
Mitsubishi,Pajero Junior,1996,1,False,1996,1.1,бензин,80,механика,4WD,внедорожник,197546,4,правый,1.1 ZR-I
Mercedes,Benz A Class,2013,3,False,2013,1.6,бензин,122,робот,передний,хэтчбек 5 дв.,110764,4,левый,N/A
Chevrolet,Lanos,2005,1,False,2005,1.5,бензин,86,механика,передний,седан,130000,N/A,N/A,1.5 MT S
Lexus,RX200t,2016,4,False,200,2.0,бензин,238,АКПП,4WD,внедорожник,99000,N/A,правый,RX200t F Sport 4WD
Hyundai,Sonata,2012,6,False,2012,2.0,бензин,150,АКПП,передний,"GPS, сим карта, метка, управление с телефона. Хорошая акустика. Сенсорное головное устройство. Шумоизоляция. Комплектация максимальная: - Панорамная крыша. - Бесключевой доступ. - Память водительского сиденья. - Электропривод водительского и пассажирского сиденья. - Подогрев всех сидений. - Камера заднего вида и парктроники. - Датчики дождя и света. - Мультируль. - Круиз контроль. Обмена нет.",133000,4,левый,2.0 AT Prestige+Navi
Mazda,Mazda6,2011,2,True,62011,2.0,бензин,147,АКПП,передний,седан,230000,3,левый,2.0 AT Impulse Line
Volkswagen,Tiguan,2013,1,True,2013,2.0,дизель,140,автомат,4WD,внедорожник,266210,2,левый,Cup
Volkswagen,Jetta,2008,5,False,2008,1.6,бензин,102,АКПП,передний,седан,260000,3,левый,N/A
Лада,Приора,2008,1,False,2008,1.6,бензин,98,механика,передний,хэтчбек 5 дв.,185000,3,левый,1.6 MT Люкс 21723-03-043
Mitsubishi,ek Custom,2018,1,True,2018,0.7,бензин,49,вариатор,передний,хэтчбек,28000,N/A,правый,660 G
Nissan,X Trail,2017,3,False,2017,2.0,бензин,144,вариатор,передний,"магнитола Android, сигнализация, блокиратор КПП. Просьба перекупщиков НЕ БЕСПОКОИТЬ! Обмен не интересует! Причина продажи - куплен новый автомобиль.",50000,2,левый,N/A
Hummer,H3,2005,1,False,32005,3.5,бензин,220,АКПП,4WD,внедорожник,145000,4,левый,N/A
Suzuki,Swift,2021,5,False,2021,1.4,бензин,140,механика,передний,хэтчбек 5 дв.,125000,N/A,правый,Sport 1.4
Toyota,Corolla,2011,10,True,2011,1.6,бензин,124,АКПП,передний,седан,150000,3,левый,N/A
Лада,Гранта,2014,1,True,2014,1.6,бензин,87,механика,передний,лифтбек,111665,2,левый,Lada (ВАЗ) Granta I 1.6 MT (87 л.с.)
Лада,Веста,2018,1,False,2018,1.6,бензин,106,механика,передний,седан,208516,4,левый,Lada (ВАЗ) Vesta I 1.6 MT (106 л.с.)
Lifan,Solano,2013,1,False,2013,1.8,бензин,125,механика,передний,седан,93000,3,левый,1.8 MT Luxury
Kia,Ceed,2018,3,False,2018,1.6,бензин,128,АКПП,передний,хэтчбек 5 дв.,137337,1,левый,Kia Ceed III 1.6 AT (128 л.с.)
Лада,Гранта,2021,1,True,2021,1.6,бензин,90,механика,передний,седан,84125,1,левый,1.6 MT Classic
MINI,Hatch,2015,3,False,2015,1.5,бензин,136,АКПП,передний,хэтчбек 3 дв.,109089,3,левый,1.5 AT Cooper 3dr.
Renault,Kaptur,2017,1,False,2017,2.0,бензин,143,АКПП,4WD,внедорожник,92000,N/A,левый,2.0 AT 4WD Style
Mazda,Premacy,2003,1,True,2003,2.0,бензин,131,автомат,передний,минивэн,392000,3,правый,N/A
