brand,model,year,generation,price,price_num,engine,power_l_s,transmission,drive,body_type,mileage,owners_count,steering,equipment
Nissan,Note,2013,2 поколение,N/A,N/A,"бензин, 1.2 л",79,вариатор,4WD,N/A,180 000 км,N/A,правый,N/A
Лада,Гранта,2025,"1 поколение, 2 рестайлинг",N/A,N/A,"бензин, 1.6 л",90,механика,передний,лифтбек,новый автомобиль,N/A,левый,1.6 MT Classic'24 Кондиционер; 1.6 литра; бензиновый; механическая коробка; лифтбек; серый
Лада,Гранта,2025,"1 поколение, 2 рестайлинг",N/A,N/A,"бензин, 1.6 л",90,механика,передний,лифтбек,новый автомобиль,N/A,левый,1.6 MT Classic'24 Кондиционер
Toyota,Alphard,2020,"3 поколение, рестайлинг",N/A,N/A,"бензин, 2.5 л",182,вариатор,передний,"https://avtoaukciony.ru 📲Наш Telegram канал: https://t.me/jpmotors_group 📲Наш VK : https://vk.com/jpautoauction 📲Наш *********: https://www.*********.com/imperia_avto27 ☎️What’s app: 89098551230 🗺️ Наш ОФИС находится: ✅2-Gis ✅Яндекс ✅Google Хабаровский край., Хабаровск., Зелёная 10., офис 107 Режим работы ОФИСА: 🏢ПН-ПТ с 9:00 до 18:00 🏔️СБ-ВС (выходной) ЗВОНИТЬ, ПИСАТЬ МОЖНО В ЛЮБОЙ ДЕНЬ ДО 22:00 🕙","55 000 км , без пробега по РФ",N/A,правый,2.5 S C Package; акпп
Chery,indiS S18D,2012,1 поколение,N/A,N/A,"бензин, 1.3 л",83,механика,передний,N/A,144 220 км,1,левый,1.3 MT IN14C
Лада,Гранта,2025,"1 поколение, 2 рестайлинг",N/A,N/A,"бензин, 1.6 л",90,механика,передний,седан,новый автомобиль,N/A,левый,1.6 MT Life; седан
Honda,Torneo,1998,1 поколение,N/A,N/A,"бензин, 2.0 л",145,АКПП,передний,N/A,N/A,N/A,правый,2.0 (LEV)
Лада,Гранта,2025,"1 поколение, 2 рестайлинг",N/A,N/A,"бензин, 1.6 л",90,механика,передний,седан,новый автомобиль,N/A,левый,1.6 MT Life
Tenet,T7,2025,1 поколение,N/A,N/A,"бензин, 1.6 л",150,робот,передний,N/A,новый автомобиль,2100444789487,левый,N/A
Лада,Гранта,2024,"1 поколение, 2 рестайлинг",N/A,N/A,"бензин, 1.6 л",106,механика,передний,лифтбек,700 км,N/A,левый,N/A
Skoda,Rapid,2015,1 поколение,N/A,N/A,"бензин, 1.2 л",75,механика,передний,лифтбек,177 000 км,2,левый,N/A
Tenet,T7,2025,1 поколение,N/A,N/A,"бензин, 1.6 л",150,робот,передний,N/A,новый автомобиль,2100444789487,левый,N/A
Hyundai,Solaris,2019,2 поколение,N/A,N/A,"бензин, 1.6 л",123,АКПП,передний,седан,52 662 км,3,левый,1.6 AT Elegance; белый; седан; АКПП
Tenet,T7,2025,1 поколение,N/A,N/A,"бензин, 1.6 л",150,робот,передний,N/A,новый автомобиль,2100444789487,левый,N/A
Volkswagen,Tiguan,2021,"2 поколение, рестайлинг",N/A,N/A,"бензин, 1.4 л",150,робот,передний,N/A,91 000 км,1,левый,1.4 TSI DSG Status Plus
Geely,CK Otaka,2011,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л",94,механика,передний,N/A,113 000 км,2,левый,1.5 MT Comfort
Skoda,Octavia,2010,"2 поколение, рестайлинг",N/A,N/A,"бензин, 1.8 л",152,механика,передний,лифтбек,230 294 км,2,левый,1.8 TSI MT Ambition
Mazda,Mazda3,2007,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л",105,АКПП,передний,седан,240 000 км,3,левый,1.6 AT Active Plus
Volkswagen,Touareg,2014,2 поколение,N/A,N/A,"бензин, 3.6 л",249,АКПП,4WD,N/A,126 000 км,3,левый,3.6 FSI Tiptronic Exclusive
Infiniti,QX70,2015,2 поколение,N/A,N/A,"дизель, 3.0 л",238,АКПП,4WD,N/A,158 773 км,N/A,левый,3.0d AWD S Design; 3 литра; с пробегом 158773 км
Haval,H6,2019,1 поколение,N/A,N/A,"бензин, 1.5 л",143,механика,4WD,N/A,160 804 км,2,левый,1.5 MT Lux
Honda,Stepwgn,2016,5 поколение,N/A,N/A,"бензин, 1.5 л",150,вариатор,передний,N/A,"118 000 км , без пробега по РФ",N/A,правый,1.5 Spada Advanced Package Alpha 7 seater
Kia,Sportage,2010,3 поколение,N/A,N/A,"бензин, 2.0 л",150,АКПП,4WD,джип/suv 5 дв.,121 000 км,4,левый,2.0 AT 4WD Luxe
Лада,2112,2004,1 поколение,N/A,N/A,"бензин, 1.5 л",91,механика,передний,хэтчбек 5 дв.,248 500 км,4,левый,1.5 MT Базовая 5-дв. 2112
Mercedes,Benz E Class,2012,4 поколение,N/A,N/A,"бензин, 1.8 л",204,АКПП,задний,седан,75 000 км,1,левый,E 250 CGI BlueEfficiency AТ Avantgarde
Honda,Fit,2015,"3 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л, гибрид",110,робот,передний,N/A,130 000 км,1,правый,1.5 Hybrid
Honda,Stepwgn,2020,"5 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л",150,вариатор,4WD,N/A,"110 000 км , без пробега по РФ",N/A,правый,1.5 Spada Honda Sensing 8 seater 4WD
Honda,Stepwgn,2021,"5 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л",150,вариатор,передний,N/A,10 000 км,1,правый,1.5 Honda Sensing (7Seater) РЕСТАЙЛИНГ !!!
Nissan,Sunny,2000,9 поколение,N/A,N/A,"бензин, 1.5 л",105,АКПП,передний,седан,150 634 км,4,правый,1.5 EX saloon
Nissan,Juke,2011,1 поколение,N/A,N/A,"бензин, 1.6 л",190,вариатор,4WD,N/A,128 000 км,2,левый,N/A
Ford,Explorer,2014,5 поколение,N/A,N/A,"бензин, 3.5 л",294,АКПП,4WD,джип/suv 5 дв.,247 000 км,4,левый,3.5 AT Limited
Toyota,Passo,2020,"3 поколение, рестайлинг",N/A,N/A,"бензин, 1.0 л",69,вариатор,4WD,N/A,72 000 км,1,правый,1.0 X S 4WD; с пробегом 72 тысяч км; акпп; 4вд; 1 литра; бу; зеленый
Toyota,Land Cruiser Prado,2012,4 поколение,N/A,N/A,"бензин, 2.7 л",163,АКПП,4WD,джип/suv 5 дв.,118 000 км,2,левый,2.7 AT Standard
Kia,Ceed,2012,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л",122,АКПП,передний,универсал,244 000 км,3,левый,1.6 AT Prestige
Лада,Гранта Кросс,2019,1 поколение,N/A,N/A,"бензин, 1.6 л",87,механика,передний,универсал,127 400 км,1,левый,1.6 MT Comfort
Hyundai,ix35,2010,1 поколение,N/A,N/A,"бензин, 2.0 л",150,АКПП,передний,N/A,196 152 км,2,левый,2.0 AT 2WD Comfort+Navi
Kia,Sorento,2015,3 поколение,N/A,N/A,"бензин, 3.3 л",250,АКПП,4WD,джип/suv 5 дв.,178 000 км,4,левый,Prime 3.3 AT Prestige
Honda,Vezel,2014,1 поколение,N/A,N/A,"бензин, 1.5 л, гибрид",132,робот,передний,N/A,134 000 км,1,правый,установлена сигнализация с автозапуском.ТОРГ. АВТОСАЛОНЫ не беспокоить!
Toyota,Hilux Surf,2002,4 поколение,N/A,N/A,"бензин, 2.7 л",150,АКПП,4WD,джип/suv 5 дв.,220 000 км,4,правый,2.7 SSR-X
Volkswagen,Tiguan,2018,2 поколение,N/A,N/A,"бензин, 2.0 л",180,робот,4WD,N/A,70 000 км,2,левый,2.0 TSI DSG 4Motion Offroad; бензин; Томская область
Toyota,Camry,2003,6 поколение,N/A,N/A,"бензин, 2.4 л",152,АКПП,передний,седан,245 252 км,4,левый,N/A
Chevrolet,Niva,2016,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.7 л",80,механика,4WD,N/A,79 653 км,1,левый,N/A
Лада,Приора,2008,1 поколение,N/A,N/A,"бензин, 1.6 л",98,механика,передний,седан,N/A,N/A,левый,N/A
УАЗ,Пикап,2023,"1 поколение, 2 рестайлинг",N/A,N/A,"бензин, 2.7 л",150,механика,4WD,N/A,32 967 км,1,левый,2.7 MT Base ИКАР Limited Евро-2
Toyota,Rush,2014,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л",109,АКПП,4WD,N/A,150 000 км,1,правый,1.5 G L Package 4WD
Honda,Fit,2019,"3 поколение, 2 рестайлинг",N/A,N/A,"бензин, 1.5 л",132,вариатор,передний,N/A,"19 520 км , без пробега по РФ",N/A,правый,1.5 15XL Honda Sensing
Toyota,Land Cruiser,2009,11 поколение,N/A,N/A,"бензин, 4.7 л",288,АКПП,4WD,джип/suv 5 дв.,347 000 км,N/A,левый,N/A
Volkswagen,Polo,2019,"5 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л",110,АКПП,передний,седан,127 252 км,N/A,левый,1.6 MPI AT Connect
Mitsubishi,L200,2021,"5 поколение, рестайлинг",N/A,N/A,"дизель, 2.4 л",154,АКПП,4WD,N/A,N/A,N/A,левый,2.4 AT Intense
Daewoo,Nexia,2008,"1 поколение, 2 рестайлинг",N/A,N/A,"бензин, 1.5 л",80,механика,передний,седан,72 000 км,4,левый,1.5 SOHC MT HC16
Toyota,Premio,2014,"2 поколение, рестайлинг",N/A,N/A,"бензин, 1.8 л",131,вариатор,4WD,N/A,230 000 км,2,правый,1.8 X L Package 4WD
Nissan,Wingroad,2001,"2 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л",105,АКПП,передний,N/A,359 669 км,4,правый,N/A
Лада,Гранта,2022,"1 поколение, 2 рестайлинг",N/A,N/A,"бензин, 1.6 л",106,механика,передний,седан,N/A,N/A,левый,N/A
Kia,K5,2020,3 поколение,N/A,N/A,"бензин, 1.6 л",180,АКПП,передний,N/A,72 000 км,4,левый,1.6 T-GDi AT 2WD GT-Line; с пробегом 72000 км
Kia,Carnival,2005,"1 поколение, рестайлинг",N/A,N/A,"бензин, 2.5 л",150,механика,передний,N/A,390 000 км,3,левый,2.5 MT EX; механика; цена 500тысяч руб.; бу; бензин
Toyota,Fortuner,2019,2 поколение,N/A,N/A,"дизель, 2.8 л",177,АКПП,4WD,N/A,120 700 км,4,левый,N/A
Toyota,Camry,2013,8 поколение,N/A,N/A,"бензин, 2.5 л",181,АКПП,передний,седан,275 000 км,N/A,левый,2.5 6AT Prestige
Toyota,Estima Emina,1997,"1 поколение, 2 рестайлинг",N/A,N/A,"бензин, 2.4 л",135,АКПП,4WD,N/A,280 000 км,4,правый,N/A
Audi,A6,1999,2 поколение,N/A,N/A,"бензин, 2.4 л",165,АКПП,передний,седан,300 000 км,4,левый,N/A
Hyundai,Solaris,2012,1 поколение,N/A,N/A,"бензин, 1.4 л",107,механика,передний,седан,170 000 км,1,левый,N/A
Citroen,C4 Picasso,2010,1 поколение,N/A,N/A,"бензин, 1.6 л",155,робот,передний,N/A,N/A,N/A,левый,N/A
Audi,Q8,2021,1 поколение,N/A,N/A,"дизель, 3.0 л",286,АКПП,4WD,N/A,89 800 км,1,левый,3.0 50 TDI quattro tiptronic; дизель; 4 вд; 3 литра; АКПП
Lifan,Solano,2018,2 поколение,N/A,N/A,"бензин, 1.5 л",100,механика,передний,N/A,105 000 км,1,левый,1.5 MT Luxury
Mercedes,Benz GLC Coupe,2019,"1 поколение, рестайлинг",N/A,N/A,"бензин, 2.0 л",249,АКПП,4WD,N/A,99 000 км,3,левый,GLC 300 4MATIC AT Sport; 2 литра; автомат
Nissan,X Trail,2012,"2 поколение, рестайлинг",N/A,N/A,"бензин, 2.0 л",137,вариатор,4WD,N/A,180 000 км,N/A,правый,N/A
Honda,Fit,2003,1 поколение,N/A,N/A,"бензин, 1.3 л",86,вариатор,передний,"-Резина зимняя -сигнализация старлайн с прогревом -печка греет изумительно - новый аккумулятор на гарантии. Салон в отличном состоянии , всё работает, музыка блютуз. Документы в полном порядке!",250 000 км,3,правый,1.3 Y
Toyota,Funcargo,2002,1 поколение,N/A,N/A,"бензин, 1.5 л",105,АКПП,4WD,N/A,318 017 км,3,правый,1.5 G; автомат; 4 вд
Лада,Веста,2024,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л",106,вариатор,передний,седан,6 000 км,N/A,левый,седан обычный - не кросс. 1.960 🍋
SsangYong,Istana,1999,N/A,N/A,N/A,"дизель, 2.9 л",98,механика,передний,N/A,589 034 км,4,левый,N/A
Suzuki,Solio,2021,4 поколение,N/A,N/A,"бензин, 1.2 л",91,вариатор,передний,N/A,"73 000 км , без пробега по РФ",N/A,правый,1.2 G
Geely,Monjaro,2025,"1 поколение, 2 рестайлинг",N/A,N/A,"бензин, 2.0 л",238,АКПП,4WD,N/A,новый автомобиль,N/A,левый,Xingyue L 2.0 AT Sun Moon
Geely,Monjaro,2025,"1 поколение, 2 рестайлинг",N/A,N/A,"бензин, 2.0 л",238,АКПП,4WD,N/A,новый автомобиль,N/A,левый,Xingyue L 2.0 AT Sun Moon
Geely,Monjaro,2025,"1 поколение, 2 рестайлинг",N/A,N/A,"бензин, 2.0 л",238,АКПП,4WD,N/A,новый автомобиль,N/A,левый,Xingyue L 2.0 AT Sun Moon
Volkswagen,Passat,2006,6 поколение,N/A,N/A,"бензин, 2.0 л",150,механика,передний,универсал,270 000 км,3,левый,2.0 FSI MT Highline
Toyota,Land Cruiser Prado,2008,3 поколение,N/A,N/A,"бензин, 4.0 л",249,АКПП,4WD,джип/suv 5 дв.,312 463 км,4,левый,4.0 AT Executive 5dr.
Nissan,Wingroad,2001,2 поколение,N/A,N/A,"бензин, 1.5 л",105,АКПП,передний,N/A,250 000 км,3,правый,1.5 G extra limited
Kia,Optima,2012,3 поколение,N/A,N/A,"бензин, 2.0 л",150,АКПП,передний,седан,230 000 км,2,левый,N/A
Mercedes,Benz C Class,2019,"4 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л",156,АКПП,задний,седан,46 000 км,1,правый,C 180 Avantgarde AMG Line
Toyota,Crown,2011,N/A,N/A,N/A,"бензин, 3.5 л, гибрид",296,автомат,задний,седан,"150 000 км , без пробега по РФ",N/A,правый,N/A
GAC,GS4,2025,1 поколение,N/A,N/A,"бензин, 1.5 л",170,робот,передний,N/A,новый автомобиль,N/A,левый,1.5 T-GDI DCT 2WD GB; 1.5 литра; бензиновый двигатель
Volkswagen,Touareg,2015,"2 поколение, рестайлинг",N/A,N/A,"дизель, 3.0 л",245,АКПП,4WD,N/A,235 482 км,4,левый,3.0 TDI Terrain Tech; полный привод; б/у
Toyota,Ractis,2008,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.3 л",87,вариатор,передний,N/A,119 000 км,1,правый,1.3 X
Лада,2114 Самара,2011,1 поколение,N/A,N/A,"бензин, 1.6 л",81,механика,передний,хэтчбек 5 дв.,156 000 км,4,левый,1.6 MT 21144-30-010
Mercedes,Benz C Class,2015,4 поколение,N/A,N/A,"бензин, 2.0 л",211,АКПП,задний,седан,179 000 км,3,левый,C 250 Sport
Chery,Tiggo 8 Pro,2024,1 поколение,N/A,N/A,"бензин, 1.6 л",186,робот,передний,N/A,5 000 км,N/A,левый,N/A
Лада,Гранта,2021,"1 поколение, 2 рестайлинг",N/A,N/A,"бензин, 1.6 л",87,механика,передний,хэтчбек 5 дв.,75 700 км,1,левый,Classic Optima
Лада,Гранта,2019,"1 поколение, 2 рестайлинг",N/A,N/A,"бензин, 1.6 л",106,механика,передний,седан,33 657 км,2,левый,1.6 MT Club
Лада,Ларгус,2024,"1 поколение, 2 рестайлинг",N/A,N/A,"бензин, 1.6 л",106,механика,передний,универсал,9 800 км,1,левый,1.6 MT Classic 5 мест
Mitsubishi,Lancer,2006,"9 поколение, 2 рестайлинг",N/A,N/A,"бензин, 1.6 л",98,механика,передний,седан,245 425 км,4,левый,N/A
Mazda,Mazda6,2017,"3 поколение, рестайлинг",N/A,N/A,"бензин, 2.0 л",150,АКПП,передний,седан,92 448 км,1,левый,. проекция; кожаный салон; память сидений; 2 литра; at; седан
BMW,5 Series,2021,"7 поколение, рестайлинг",N/A,N/A,"бензин, 3.0 л",340,АКПП,4WD,седан,55 000 км,1,левый,540i AT xDrive M Sport Pro Edition 21
Лада,Гранта,2018,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л, ГБО",87,механика,передний,седан,205 км,3,левый,1.6 MT Classic
Haval,Jolion,2025,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л",150,робот,4WD,N/A,новый автомобиль,N/A,левый,1.5 DCT 4WD Premium
Kia,Sportage,2013,3 поколение,N/A,N/A,"бензин, 2.0 л",150,АКПП,передний,джип/suv 5 дв.,153 677 км,4,левый,2.0 AT 2WD Comfort
Haval,Jolion,2025,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л",150,робот,4WD,N/A,новый автомобиль,N/A,левый,1.5 DCT 4WD Tech+
Haval,M6,2025,2 поколение,N/A,N/A,"бензин, 1.5 л",143,робот,передний,N/A,новый автомобиль,N/A,левый,1.5T DCT
Haval,Jolion,2025,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л",150,робот,4WD,N/A,новый автомобиль,N/A,левый,1.5 DCT 4WD Premium
Chrysler,Pacifica,2003,1 поколение,N/A,N/A,"бензин, 3.5 л",253,АКПП,4WD,джип/suv 5 дв.,N/A,4,левый,N/A
Toyota,Avensis,1998,1 поколение,N/A,N/A,"бензин, 1.6 л",110,механика,передний,седан,262 554 км,3,левый,"""sol""."
Haval,F7,2025,2 поколение,N/A,N/A,"бензин, 1.5 л",150,робот,передний,N/A,новый автомобиль,N/A,левый,ELITE...
Skoda,Felicia,1998,N/A,N/A,N/A,"бензин, 1.3 л",58,механика,передний,универсал,160 157 км,4,левый,• Бензиновый двигатель; 1.3 л.; 58 л.с.
Haval,Jolion,2025,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л",150,робот,4WD,N/A,новый автомобиль,N/A,левый,1.5 DCT 4WD Tech+
Toyota,Ipsum,1997,1 поколение,N/A,N/A,"бензин, 2.0 л",135,АКПП,передний,N/A,274 837 км,3,правый,N/A
Toyota,Caldina,1998,2 поколение,N/A,N/A,"бензин, 1.8 л",115,АКПП,передний,N/A,1 км,4,правый,1.8 E
Haval,F7,2025,2 поколение,N/A,N/A,"бензин, 2.0 л",192,робот,4WD,N/A,новый автомобиль,N/A,левый,ELITE...
Haval,M6,2025,2 поколение,N/A,N/A,"бензин, 1.5 л",143,робот,передний,N/A,новый автомобиль,N/A,левый,1.5T DCT
Haval,M6,2025,2 поколение,N/A,N/A,"бензин, 1.5 л",143,робот,передний,N/A,новый автомобиль,N/A,левый,1.5T DCT
Лада,Калина,2012,N/A,N/A,N/A,"бензин, 1.6 л",82,механика,передний,универсал,193 000 км,N/A,N/A,N/A
Renault,Duster,2018,N/A,N/A,N/A,"бензин, 2.0 л",143,АКПП,4WD,"Обивка салона кожа Обогрев сидений Кондиционер Круиз-контроль Обогрев зеркал Парктроник задний Электропривод зеркал Электростеклоподъемники ---------------------------------------------------------------------------------------------------------------------- При наличии скрытых дефектов (окрасы/замены элементов и т.п.) и ДТП Обязательно информируем клиентов. Один владелец. ПТС оригинал. Отличное состояние автомобиля. Комплектация: • Бензиновый двигатель, 2 л., 143 л.с. • Антиблокировочная система • Подушки безопасности • Центральный замок • Бортовой компьютер • Круиз-контроль • Парктроник • Усилитель руля • Электростеклоподъемники • Электропривод зеркал • Климат-контроль • Подогрев сидений водителя и пассажира • Обогрев зеркал • Кассетник • CD • DVD • MP3",58 305 км,1,левый,Обивка салона кожа
Haval,M6,2025,2 поколение,N/A,N/A,"бензин, 1.5 л",143,робот,передний,N/A,новый автомобиль,N/A,левый,1.5T DCT; Санкт-Петербург; черный; 1.5 литра; автомат
Skoda,Kodiaq,2025,2 поколение,N/A,N/A,"бензин, 2.0 л",190,робот,4WD,"• Бензиновый двигатель, 2 л., 190 л.с. • Роботизированная коробка передач • Система курсовой устойчивости • Датчик усталости водителя • Датчик давления в шинах • Подушки безопасности водителя • Подушки безопасности пассажира • Боковые передние и задние подушки безопасности • Оконные шторки безопасности • Система крепления детских автокресел • Сигнализация • Центральный замок • Круиз-контроль • Парктроник передний и задний • Камера 360° • Система помощи при старте в гору • Датчик света • Датчик дождя • Активный усилитель руля • Электроскладывание зеркал • Солнцезащитные шторки в задних дверях • Климат-контроль 3-зонный • Подогрев сидений водителя, пассажира и задних пассажиров • Обогрев зеркал • USB • Голосовое управление • Bluetooth • Беспроводная зарядка для телефона • Розетка 12V • Кожаная обивка салона • Кожаный руль • Панорамная крыша • Складывающееся заднее сидение • Третий задний подголовник • Третий ряд сидений • Сиденья с массажем • Размер дисков 19″ • Рейлинги на крыше • Защита картера • Светодиодные фары • Инструменты • Домкрат • Комплект тканневых ковриков • Докатка",новый автомобиль,219036031219,левый,2.0 TSI DSG 4x4 Selection Казахстан
Haval,M6,2025,2 поколение,N/A,N/A,"бензин, 1.5 л",143,механика,передний,N/A,новый автомобиль,N/A,левый,1.5T MT; механика
Chery,Tiggo 7 Pro Max,2023,1 поколение,N/A,N/A,"бензин, 1.5 л",147,вариатор,передний,N/A,20 570 км,1,левый,Chery Tiggo 7 Pro Max I 1.5 CVT (147 л.с.)
Лада,4x4 2121 Нива,2000,1 поколение,N/A,N/A,"бензин, 1.7 л",79,механика,4WD,N/A,250 000 км,3,левый,1.7 MT
Haval,M6,2025,2 поколение,N/A,N/A,"бензин, 1.5 л",143,робот,передний,N/A,новый автомобиль,N/A,левый,1.5T DCT
Haval,M6,2025,2 поколение,N/A,N/A,"бензин, 1.5 л",143,робот,передний,N/A,новый автомобиль,N/A,левый,1.5T DCT; бензин; автомат; 1.5л.
Toyota,Camry,1997,"4 поколение, рестайлинг",N/A,N/A,"бензин, 2.0 л",135,АКПП,4WD,седан,436 500 км,4,правый,2.0 Lumiere
Hyundai,Solaris,2014,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л",123,АКПП,передний,седан,147 000 км,3,левый,Optima; чёрный.Пробег 80 000. Покупал у официального дилера до...
Vortex,Estina,2009,1 поколение,N/A,N/A,"бензин, 1.6 л",109,механика,передний,N/A,157 000 км,3,левый,1.6 MT Base (MT1); 1.6л.
Lincoln,Navigator,2001,1 поколение,N/A,N/A,"бензин, 5.4 л",300,АКПП,задний,N/A,120 000 км,3,левый,5.4 AT LS
Toyota,Kluger V,2001,1 поколение,N/A,N/A,"бензин, 3.0 л",220,АКПП,4WD,"- Объём 1mz 3.0 220 л.с - Масло не ест ни грамма, от замены до замены уровень! - Не дымит! - Масло менялось каждые 5 тыс. км., с заменой масла не затягивали, лили только оригинал Idemitsu-5W30 - Последний раз масло менял 2500 км. назад, соответственно с масляным и воздушным фильтром! - Посторонних шумов, стуков, в двигателе нет, работает идеально! Ходовая часть: - Отличное состояние - Провёл комплексное ТО в августе 2025 года (поменял линьки, шаровые, рулевые наконечники) - Ходовка не стучит, не гремит, автомобиль по трассе не плавает. Сход развал пройден. Электрика: - Работает ВСЁ! - На приборной панели все индикаторы работают в штатном режиме - Фары, габариты- всё работает! - Свет в салоне и подсветка работают - Музыка играет Автомат: - Переключается плавно, никаких пинков, рывков и т. д. нет - Декстрон менял 5200 км. назад Кузов: - В идеальном состоянии! - В дтп не участвовала!! - Лонжероны целые, не тянутые, не гнутые, не пиленные! - Кузов без ржавчины, пороги и арки не гнилые, как новые!!! Салон: - Как новый! - Прокуров, потёртостей, просидов нет! - В авто не курили!! -Салон очень практичный!! -акустика на 5 с плюсом. Дополнительно: - Новый АКБ ещё на гарантии!! - стёкла родные Японские!! - Идеальный салон!! - Кондиционер заправлен!! - Ветровики!! - Магнитола!! - Климат контроль!! - Сигнализация с прогревом!! В ЦЕЛОМ АВТОМОБИЛЬ В ИДЕАЛЬНОМ СОСТОЯНИИ! ВЛОЖЕНИЙ НЕ ТРЕБУЕТ АБСОЛЮТНО НИКАКИХ! ЛЮБЫЕ ПРОВЕРКИ ЗА ВАШИ ДЕНЬГИ ПРИВЕТСТВУЮТСЯ! ЮРИДИЧЕСКАЯ ЧИСТОТА 100%! ВОЗМОЖЕН РАСЧЁТ ПОСЛЕ ПЕРЕОФОРМЛЕНИЯ В ГАИ!! ЕСЛИ ЗА ЭТУ ЦЕНУ НАЙДЁТЕ АВТО ЛУЧШЕ, КУПИТЕ ЕГО!!! ТОРГ МИНИМАЛЬНЫЙ, ОБОСНОВАННЫЙ И ТОЛЬКО ВОЗЛЕ КАПОТА!!! АВТО СТОИТ ЭТИХ ДЕНЕГ!!! ОБМЕН НЕ ИНТЕРЕСЕН!!! ЗВОНИТЕ НЕ СТЕСНЯЙТЕСЬ!! ПРИЕЗЖАЙТЕ СМОТРИТЕ!!! ЕСЛИ НЕ ОТВЕЧАЮ, ПИШИТЕ В ВАТС'АПП!!!",345 000 км,1,правый,3.0 V FOUR 4WD; 3л.; правый руль
Suzuki,Grand Vitara,2005,1 поколение,N/A,N/A,"бензин, 2.0 л",128,АКПП,4WD,джип/suv 5 дв.,220 000 км,4,левый,N/A
BMW,X5,2007,2 поколение,N/A,N/A,"бензин, 3.0 л",272,АКПП,4WD,N/A,230 000 км,3,левый,xDrive 30i AT Base
Nissan,Note,2013,2 поколение,N/A,N/A,"бензин, 1.2 л",79,вариатор,передний,N/A,250 000 км,2,правый,N/A
Лада,Гранта,2012,1 поколение,N/A,N/A,"бензин, 1.6 л",82,механика,передний,седан,293 000 км,4,левый,1.6 MT Стандарт
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,165000 км,N/A,N/A,N/A
BMW,5 Series,2018,7 поколение,N/A,N/A,"бензин, 2.0 л",249,АКПП,4WD,седан,211 000 км,1,левый,530i AT xDrive Base; Москва; синий; бенз.
Kia,Spectra,2008,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л, ГБО",101,механика,передний,седан,192 000 км,4,левый,1.6 MT Комфорт+
Changan,CS35 Plus,2023,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.4 л",150,робот,передний,N/A,17 900 км,2,левый,1.4 AMT Tech; автоматическая коробка
Toyota,Yaris,2020,4 поколение,N/A,N/A,"бензин, 1.0 л",69,вариатор,передний,хэтчбек 5 дв.,"15 000 км , без пробега по РФ",N/A,правый,1.0 G
Toyota,Sienta,2017,2 поколение,N/A,N/A,"бензин, 1.5 л",103,вариатор,4WD,АВТОМОБИЛЬНЫЙ РЫНОК ХАБАРОВСКА НА ул. ВЫБОРГСКОЙ !!! АВТОМОБИЛЬНЫЙ РЫНОК ХАБАРОВСКА НА ул. ВЫБОРГСКОЙ !!! 👉 АДРЕС: НОВОВЫБОРГСКАЯ 3а !!! Режим работы: 🕙🕔 Понедельник-Пятница с 10:00 до 17:00 Суббота-Воскресенье с 10:00 до 15:00,"86 000 км , без пробега по РФ",N/A,правый,1.5 X 4WD (6 seater)
Лада,2115 Самара,2011,1 поколение,N/A,N/A,"бензин, 1.6 л",81,механика,передний,N/A,98 000 км,3,левый,1.6 MT 21154-30-012; бензиновый; механика
Лада,Х рей,2018,1 поколение,N/A,N/A,"бензин, 1.8 л",122,робот,передний,N/A,153 290 км,1,левый,N/A
Nissan,DAYZ,2021,2 поколение,N/A,N/A,"бензин, 0.7 л, гибрид",52,вариатор,передний,N/A,"22 000 км , без пробега по РФ",N/A,правый,660 Highway Star X
Лада,Гранта,2018,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л",87,механика,передний,седан,108 555 км,2,левый,1.6 MT Comfort + пакет Multimedia
Лада,Нива Легенд,2022,1 поколение,N/A,N/A,"бензин, 1.7 л",83,механика,4WD,джип/suv 3 дв.,57 648 км,2,левый,N/A
Honda,Life,2004,4 поколение,N/A,N/A,"бензин, 0.7 л",52,АКПП,передний,хэтчбек 5 дв.,250 000 км,4,правый,N/A
